# code count   (NTAP=100 TCLK_ps=5000 nominal_LSB_ps=50 total=40000)
0 0
1 353
2 326
3 333
4 279
5 339
6 311
7 334
8 325
9 351
10 366
11 338
12 343
13 321
14 288
15 364
16 338
17 363
18 335
19 373
20 346
21 341
22 380
23 314
24 348
25 878
26 360
27 337
28 349
29 387
30 399
31 370
32 372
33 369
34 387
35 386
36 422
37 395
38 371
39 386
40 349
41 364
42 349
43 367
44 385
45 439
46 369
47 356
48 384
49 409
50 926
51 402
52 373
53 420
54 404
55 436
56 415
57 393
58 402
59 403
60 367
61 414
62 418
63 427
64 430
65 396
66 417
67 389
68 433
69 445
70 416
71 424
72 409
73 403
74 425
75 433
76 435
77 438
78 424
79 408
80 468
81 466
82 457
83 472
84 442
85 440
86 462
87 483
88 455
89 464
90 463
91 495
92 468
93 439
94 494
95 443
96 472
97 472
98 475
99 197
100 0
