# dt_ps,meas_ps,start_coarse,start_fine,stop_coarse,stop_fine,guard
800,788,16,77,16,62,6
973,988,27,77,27,58,6
1146,1141,38,77,38,55,6
1319,1343,49,77,49,51,6
1492,1510,60,77,60,49,6
1665,1651,71,77,71,46,6
1838,1844,82,77,82,42,5
2011,2027,93,77,93,38,5
2184,2176,104,77,104,35,5
2357,2364,115,77,115,31,5
2530,2551,126,77,126,27,5
2703,2672,137,77,137,25,5
2876,2878,148,77,148,21,5
3049,3054,159,77,159,17,5
3222,3220,170,77,170,13,5
3395,3393,181,77,181,9,5
3568,3596,192,77,192,4,5
3741,3752,203,77,204,99,6
3914,3912,215,77,216,96,6
4087,4087,227,77,228,93,6
4260,4263,239,77,240,90,6
4433,4437,251,77,252,87,6
4606,4608,263,77,264,84,6
4779,4781,275,77,276,81,6
4952,5000,287,77,288,77,6
5125,5162,299,77,300,74,6
5298,5317,311,77,312,71,6
5471,5478,323,77,324,68,6
5644,5630,335,77,336,65,6
5817,5840,347,77,348,61,6
5990,5988,359,77,360,58,6
6163,6141,371,77,372,55,6
6336,6343,383,77,384,51,6
6509,6510,395,77,396,49,6
6682,6701,407,77,408,45,6
6855,6844,419,77,420,42,5
7028,7027,431,77,432,38,5
7201,7225,443,77,444,34,5
7374,7364,455,77,456,31,5
7547,7551,467,77,468,27,5
7720,7748,479,77,480,24,5
7893,7921,491,77,492,20,5
8066,8098,503,77,504,16,5
8239,8262,515,77,516,12,5
8412,8435,527,77,528,8,5
8585,8596,539,77,540,4,5
8758,8794,551,77,553,98,6
8931,8970,564,77,566,95,6
9104,9143,577,77,579,92,6
9277,9321,590,77,592,89,6
9450,9496,603,77,605,86,6
9623,9665,616,77,618,83,6
9796,9839,629,77,631,80,6
9969,10000,642,77,644,77,6
10142,10162,655,77,657,74,6
10315,10317,668,77,670,71,6
10488,10478,681,77,683,68,6
10661,10682,694,77,696,64,6
10834,10840,707,77,709,61,6
11007,10988,720,77,722,58,6
11180,11194,733,77,735,54,6
11353,11343,746,77,748,51,6
11526,11559,759,77,761,48,6
11699,11701,772,77,774,45,6
11872,11889,785,77,787,41,5
12045,12027,798,77,800,38,5
12218,12225,811,77,813,34,5
12391,12413,824,77,826,30,5
12564,12594,837,77,839,26,5
12737,12748,850,77,852,24,5
12910,12921,863,77,865,20,5
13083,13098,876,77,878,16,5
13256,13262,889,77,891,12,5
13429,13435,902,77,904,8,5
13602,13596,915,77,917,4,5
13775,13794,928,77,931,98,6
13948,13970,942,77,945,95,6
14121,14143,956,77,959,92,6
14294,14321,970,77,973,89,6
14467,14496,984,77,987,86,6
14640,14665,998,77,1001,83,6
14813,14839,1012,77,1015,80,6
14986,15000,1026,77,1029,77,6
15159,15162,1040,77,1043,74,6
15332,15369,1054,77,1057,70,6
15505,15529,1068,77,1071,67,6
15678,15682,1082,77,1085,64,6
15851,15840,1096,77,1099,61,6
16024,16037,1110,77,1113,57,6
16197,16194,1124,77,1127,54,6
16370,16426,1138,77,1141,50,6
16543,16559,1152,77,1155,48,6
16716,16701,1166,77,1169,45,6
16889,16889,1180,77,1183,41,5
17062,17075,1194,77,1197,37,5
17235,17225,1208,77,1211,34,5
17408,17413,1222,77,1225,30,5
17581,17594,1236,77,1239,26,5
17754,17748,1250,77,1253,24,5
17927,17921,1264,77,1267,20,5
18100,18098,1278,77,1281,16,5
18273,18262,1292,77,1295,12,5
18446,18476,1306,77,1309,7,5
18619,18634,1320,77,1323,3,5
18792,18794,1334,77,1338,98,6
18965,18970,1349,77,1353,95,6
19138,19143,1364,77,1368,92,6
19311,19321,1379,77,1383,89,6
19484,19496,1394,77,1398,86,6
19657,19665,1409,77,1413,83,6
19830,19839,1424,77,1428,80,6
20003,20000,1439,77,1443,77,6
20176,20214,1454,77,1458,73,6
20349,20369,1469,77,1473,70,6
20522,20529,1484,77,1488,67,6
20695,20682,1499,77,1503,64,6
20868,20889,1514,77,1518,60,6
21041,21037,1529,77,1533,57,6
21214,21194,1544,77,1548,54,6
21387,21426,1559,77,1563,50,6
21560,21559,1574,77,1578,48,6
21733,21753,1589,77,1593,44,6
21906,21889,1604,77,1608,41,5
22079,22075,1619,77,1623,37,5
22252,22272,1634,77,1638,33,5
22425,22413,1649,77,1653,30,5
22598,22594,1664,77,1668,26,5
22771,22790,1679,77,1683,23,5
22944,22966,1694,77,1698,19,5
23117,23141,1709,77,1713,15,5
23290,23304,1724,77,1728,11,5
23463,23476,1739,77,1743,7,5
23636,23634,1754,77,1758,3,5
23809,23854,1769,77,1774,97,6
23982,23970,1785,77,1790,95,6
24155,24143,1801,77,1806,92,6
24328,24321,1817,77,1822,89,6
24501,24496,1833,77,1838,86,6
24674,24723,1849,77,1854,82,6
24847,24894,1865,77,1870,79,6
25020,25054,1881,77,1886,76,6
25193,25214,1897,77,1902,73,6
25366,25369,1913,77,1918,70,6
25539,25529,1929,77,1934,67,6
25712,25736,1945,77,1950,63,6
25885,25889,1961,77,1966,60,6
26058,26037,1977,77,1982,57,6
26231,26245,1993,77,1998,53,6
26404,26426,2009,77,2014,50,6
26577,26605,2025,77,2030,47,6
26750,26753,2041,77,2046,44,6
26923,26934,2057,77,2062,40,5
27096,27075,2073,77,2078,37,5
27269,27272,2089,77,2094,33,5
27442,27462,2105,77,2110,29,5
27615,27672,2121,77,2126,25,5
27788,27790,2137,77,2142,23,5
27961,27966,2153,77,2158,19,5
28134,28141,2169,77,2174,15,5
28307,28304,2185,77,2190,11,5
28480,28476,2201,77,2206,7,5
28653,28676,2217,77,2222,2,5
28826,28854,2233,77,2239,97,6
28999,29028,2250,77,2256,94,6
29172,29203,2267,77,2273,91,6
29345,29379,2284,77,2290,88,6
29518,29553,2301,77,2307,85,6
29691,29723,2318,77,2324,82,6
29864,29894,2335,77,2341,79,6
30037,30054,2352,77,2358,76,6
30210,30214,2369,77,2375,73,6
30383,30369,2386,77,2392,70,6
30556,30580,2403,77,2409,66,6
30729,30736,2420,77,2426,63,6
30902,30889,2437,77,2443,60,6
31075,31088,2454,77,2460,56,6
31248,31245,2471,77,2477,53,6
31421,31426,2488,77,2494,50,6
31594,31605,2505,77,2511,47,6
31767,31753,2522,77,2528,44,5
31940,31934,2539,77,2545,40,5
32113,32126,2556,77,2562,36,5
32286,32272,2573,77,2579,33,5
32459,32462,2590,77,2596,29,5
32632,32672,2607,77,2613,25,5
32805,32833,2624,77,2630,22,5
32978,32966,2641,77,2647,19,5
33151,33182,2658,77,2664,14,5
33324,33348,2675,77,2681,10,5
33497,33517,2692,77,2698,6,5
33670,33676,2709,77,2715,2,5
33843,33854,2726,77,2733,97,6
34016,34028,2744,77,2751,94,6
34189,34203,2762,77,2769,91,6
34362,34379,2780,77,2787,88,6
34535,34553,2798,77,2805,85,6
34708,34723,2816,77,2823,82,6
34881,34894,2834,77,2841,79,6
35054,35054,2852,77,2859,76,6
35227,35265,2870,77,2877,72,6
35400,35423,2888,77,2895,69,6
35573,35580,2906,77,2913,66,6
35746,35736,2924,77,2931,63,6
35919,35937,2942,77,2949,59,6
36092,36088,2960,77,2967,56,6
36265,36245,2978,77,2985,53,6
36438,36426,2996,77,3003,50,6
36611,36605,3014,77,3021,47,6
36784,36800,3032,77,3039,43,5
36957,36934,3050,77,3057,40,5
37130,37126,3068,77,3075,36,5
37303,37318,3086,77,3093,32,5
37476,37508,3104,77,3111,28,5
37649,37672,3122,77,3129,25,5
37822,37833,3140,77,3147,22,5
37995,38010,3158,77,3165,18,5
38168,38182,3176,77,3183,14,5
38341,38348,3194,77,3201,10,5
38514,38517,3212,77,3219,6,5
38687,38718,3230,77,3237,1,5
38860,38854,3248,77,3256,97,6
39033,39028,3267,77,3275,94,6
39206,39203,3286,77,3294,91,6
39379,39379,3305,77,3313,88,6
39552,39553,3324,77,3332,85,6
39725,39723,3343,77,3351,82,6
39898,39946,3362,77,3370,78,6
40071,40109,3381,77,3389,75,6
40244,40265,3400,77,3408,72,6
40417,40423,3419,77,3427,69,6
40590,40580,3438,77,3446,66,6
40763,40788,3457,77,3465,62,6
40936,40937,3476,77,3484,59,6
41109,41088,3495,77,3503,56,6
41282,41295,3514,77,3522,52,6
41455,41426,3533,77,3541,50,6
41628,41651,3552,77,3560,46,6
41801,41800,3571,77,3579,43,5
41974,41980,3590,77,3598,39,5
42147,42126,3609,77,3617,36,5
42320,42318,3628,77,3636,32,5
42493,42508,3647,77,3655,28,5
42666,42672,3666,77,3674,25,5
42839,42833,3685,77,3693,22,5
43012,43010,3704,77,3712,18,5
43185,43182,3723,77,3731,14,5
43358,43348,3742,77,3750,10,5
43531,43557,3761,77,3769,5,5
43704,43718,3780,77,3788,1,5
43877,43912,3799,77,3808,96,6
44050,44087,3819,77,3828,93,6
44223,44263,3839,77,3848,90,6
44396,44437,3859,77,3868,87,6
44569,44608,3879,77,3888,84,6
44742,44781,3899,77,3908,81,6
44915,44946,3919,77,3928,78,6
45088,45109,3939,77,3948,75,6
45261,45265,3959,77,3968,72,6
45434,45423,3979,77,3988,69,6
45607,45630,3999,77,4008,65,6
45780,45788,4019,77,4028,62,6
45953,45937,4039,77,4048,59,6
46126,46141,4059,77,4068,55,6
46299,46295,4079,77,4088,52,6
46472,46426,4099,77,4108,50,6
46645,46651,4119,77,4128,46,6
46818,46844,4139,77,4148,42,5
46991,46980,4159,77,4168,39,5
47164,47176,4179,77,4188,35,5
47337,47364,4199,77,4208,31,5
47510,47508,4219,77,4228,28,5
47683,47672,4239,77,4248,25,5
47856,47878,4259,77,4268,21,5
48029,48054,4279,77,4288,17,5
48202,48220,4299,77,4308,13,5
48375,48393,4319,77,4328,9,5
48548,48557,4339,77,4348,5,5
48721,48718,4359,77,4368,1,5
48894,48912,4379,77,4389,96,6
49067,49087,4400,77,4410,93,6
49240,49263,4421,77,4431,90,6
49413,49437,4442,77,4452,87,6
49586,49608,4463,77,4473,84,6
49759,49781,4484,77,4494,81,6
49932,49946,4505,77,4515,78,6
50105,50109,4526,77,4536,75,6
50278,50317,4547,77,4557,71,6
50451,50478,4568,77,4578,68,6
50624,50630,4589,77,4599,65,6
50797,50788,4610,77,4620,62,6
50970,50988,4631,77,4641,58,6
51143,51141,4652,77,4662,55,6
51316,51343,4673,77,4683,51,6
51489,51510,4694,77,4704,49,6
51662,51651,4715,77,4725,46,6
51835,51844,4736,77,4746,42,5
52008,52027,4757,77,4767,38,5
