# dt_ps,meas_ps,start_coarse,start_fine,stop_coarse,stop_fine,guard
25020,25050,1881,77,1886,76,6
25193,25200,1897,77,1902,73,6
25366,25350,1913,77,1918,70,6
25539,25500,1929,77,1934,67,6
25712,25700,1945,77,1950,63,6
25885,25850,1961,77,1966,60,6
26058,26000,1977,77,1982,57,6
26231,26200,1993,77,1998,53,6
26404,26350,2009,77,2014,50,6
26577,26500,2025,77,2030,47,6
26750,26650,2041,77,2046,44,6
26923,26850,2057,77,2062,40,5
27096,27000,2073,77,2078,37,5
27269,27200,2089,77,2094,33,5
27442,27400,2105,77,2110,29,5
27615,27600,2121,77,2126,25,5
27788,27700,2137,77,2142,23,5
27961,27900,2153,77,2158,19,5
28134,28100,2169,77,2174,15,5
28307,28300,2185,77,2190,11,5
28480,28500,2201,77,2206,7,5
28653,28750,2217,77,2222,2,5
28826,29000,2233,77,2239,97,6
28999,29150,2250,77,2256,94,6
29172,29300,2267,77,2273,91,6
29345,29450,2284,77,2290,88,6
29518,29600,2301,77,2307,85,6
29691,29750,2318,77,2324,82,6
29864,29900,2335,77,2341,79,6
30037,30050,2352,77,2358,76,6
30210,30200,2369,77,2375,73,6
30383,30350,2386,77,2392,70,6
30556,30550,2403,77,2409,66,6
30729,30700,2420,77,2426,63,6
30902,30850,2437,77,2443,60,6
31075,31050,2454,77,2460,56,6
31248,31200,2471,77,2477,53,6
31421,31350,2488,77,2494,50,6
31594,31500,2505,77,2511,47,6
31767,31650,2522,77,2528,44,5
31940,31850,2539,77,2545,40,5
32113,32050,2556,77,2562,36,5
32286,32200,2573,77,2579,33,5
32459,32400,2590,77,2596,29,5
32632,32600,2607,77,2613,25,5
32805,32750,2624,77,2630,22,5
32978,32900,2641,77,2647,19,5
33151,33150,2658,77,2664,14,5
33324,33350,2675,77,2681,10,5
33497,33550,2692,77,2698,6,5
33670,33750,2709,77,2715,2,5
33843,34000,2726,77,2733,97,6
34016,34150,2744,77,2751,94,6
34189,34300,2762,77,2769,91,6
34362,34450,2780,77,2787,88,6
34535,34600,2798,77,2805,85,6
34708,34750,2816,77,2823,82,6
34881,34900,2834,77,2841,79,6
35054,35050,2852,77,2859,76,6
35227,35250,2870,77,2877,72,6
35400,35400,2888,77,2895,69,6
35573,35550,2906,77,2913,66,6
35746,35700,2924,77,2931,63,6
35919,35900,2942,77,2949,59,6
36092,36050,2960,77,2967,56,6
36265,36200,2978,77,2985,53,6
36438,36350,2996,77,3003,50,6
36611,36500,3014,77,3021,47,6
36784,36700,3032,77,3039,43,5
36957,36850,3050,77,3057,40,5
37130,37050,3068,77,3075,36,5
37303,37250,3086,77,3093,32,5
37476,37450,3104,77,3111,28,5
37649,37600,3122,77,3129,25,5
37822,37750,3140,77,3147,22,5
37995,37950,3158,77,3165,18,5
38168,38150,3176,77,3183,14,5
38341,38350,3194,77,3201,10,5
38514,38550,3212,77,3219,6,5
38687,38800,3230,77,3237,1,5
38860,39000,3248,77,3256,97,6
39033,39150,3267,77,3275,94,6
39206,39300,3286,77,3294,91,6
39379,39450,3305,77,3313,88,6
39552,39600,3324,77,3332,85,6
39725,39750,3343,77,3351,82,6
39898,39950,3362,77,3370,78,6
40071,40100,3381,77,3389,75,6
40244,40250,3400,77,3408,72,6
40417,40400,3419,77,3427,69,6
40590,40550,3438,77,3446,66,6
40763,40750,3457,77,3465,62,6
40936,40900,3476,77,3484,59,6
41109,41050,3495,77,3503,56,6
41282,41250,3514,77,3522,52,6
41455,41350,3533,77,3541,50,6
41628,41550,3552,77,3560,46,6
41801,41700,3571,77,3579,43,5
41974,41900,3590,77,3598,39,5
42147,42050,3609,77,3617,36,5
42320,42250,3628,77,3636,32,5
42493,42450,3647,77,3655,28,5
42666,42600,3666,77,3674,25,5
42839,42750,3685,77,3693,22,5
43012,42950,3704,77,3712,18,5
43185,43150,3723,77,3731,14,5
43358,43350,3742,77,3750,10,5
43531,43600,3761,77,3769,5,5
43704,43800,3780,77,3788,1,5
43877,44050,3799,77,3808,96,6
44050,44200,3819,77,3828,93,6
44223,44350,3839,77,3848,90,6
44396,44500,3859,77,3868,87,6
44569,44650,3879,77,3888,84,6
44742,44800,3899,77,3908,81,6
44915,44950,3919,77,3928,78,6
45088,45100,3939,77,3948,75,6
45261,45250,3959,77,3968,72,6
45434,45400,3979,77,3988,69,6
45607,45600,3999,77,4008,65,6
45780,45750,4019,77,4028,62,6
45953,45900,4039,77,4048,59,6
46126,46100,4059,77,4068,55,6
46299,46250,4079,77,4088,52,6
46472,46350,4099,77,4108,50,6
46645,46550,4119,77,4128,46,6
46818,46750,4139,77,4148,42,5
46991,46900,4159,77,4168,39,5
47164,47100,4179,77,4188,35,5
47337,47300,4199,77,4208,31,5
47510,47450,4219,77,4228,28,5
47683,47600,4239,77,4248,25,5
47856,47800,4259,77,4268,21,5
48029,48000,4279,77,4288,17,5
48202,48200,4299,77,4308,13,5
48375,48400,4319,77,4328,9,5
48548,48600,4339,77,4348,5,5
48721,48800,4359,77,4368,1,5
48894,49050,4379,77,4389,96,6
49067,49200,4400,77,4410,93,6
49240,49350,4421,77,4431,90,6
49413,49500,4442,77,4452,87,6
49586,49650,4463,77,4473,84,6
49759,49800,4484,77,4494,81,6
49932,49950,4505,77,4515,78,6
50105,50100,4526,77,4536,75,6
50278,50300,4547,77,4557,71,6
50451,50450,4568,77,4578,68,6
50624,50600,4589,77,4599,65,6
50797,50750,4610,77,4620,62,6
50970,50950,4631,77,4641,58,6
51143,51100,4652,77,4662,55,6
51316,51300,4673,77,4683,51,6
51489,51400,4694,77,4704,49,6
51662,51550,4715,77,4725,46,6
51835,51750,4736,77,4746,42,5
52008,51950,4757,77,4767,38,5
52181,52100,4778,77,4788,35,5
52354,52300,4799,77,4809,31,5
52527,52500,4820,77,4830,27,5
52700,52600,4841,77,4851,25,5
52873,52800,4862,77,4872,21,5
